symbol,num_categories,market_cap_rank,categories
pepe,1,25,Frog-Themed
arb,1,38,eGirl Capital Portfolio
not,1,65,Tap to Earn
xmr,1,34,Privacy
bb,1,287,Binance Megadrop
dash,1,213,Masternodes
audio,1,282,Music
reth,1,56,Manta Network Ecosystem
kda,1,303,Kadena Ecosystem
ctk,1,411,Cybersecurity
redo,1,404,TON Meme
ant,1,189,Software
iq,1,379,Media
wemix,1,144,WEMIX Ecosystem
safe,1,126,Wallets
xvs,1,423,opBNB Ecocystem
rlb,1,261,Gambling
mother,1,477,Celebrity-Themed
zig,1,372,Injective Ecosystem
zeta,1,245,ZetaChain Ecosystem
kuji,1,323,Kujira Ecosystem
aevo,1,160,Perpetuals
dao,1,334,DaoMaker Ecosystem
super,1,207,Collectibles
ethw,1,226,EthereumPoW Ecosystem
lunc,1,149,Terra Ecosystem
ach,1,380,Payment Solutions
flow,1,85,Sports
okt,1,264,OEC Ecosystem
egld,1,101,MultiversX Ecosystem
ldo,1,52,Liquid Staking Governance Tokens
1inch,1,145,Number
bch,1,18,Bitcoin Fork
btt,1,91,BitTorrent Ecosystem
vanry,1,267,Vanar Chain Ecosystem
skl,1,223,Skale Ecosystem
c98,1,329,Viction Ecocystem
purr,1,459,Hyperliquid Ecosystem
brett,1,66,Base Meme
inj,1,47,Secret Ecosystem
frax,1,119,Seigniorage
snx,1,116,Synthetic Issuer
trac,1,201,Decentralized Science (DeSci)
floki,1,59,TokenFi Launchpad
zil,1,192,Zilliqa Ecosystem
pro,1,456,Real Estate
rune,1,69,Bridge Governance Tokens
yfi,1,270,Yearn Ecosystem
merl,1,405,Merlin Chain Ecosystem
degen,1,386,Farcaster Ecosystem
ohm,1,269,Rebase Tokens
ray,1,152,Launchpad
shib,1,14,Shibarium Ecosystem
astr,1,172,Astar Ecosystem
dot,1,16,Layer 0 (L0)
tlos,1,462,Telos Ecosystem
venom,1,237,Venom Ecosystem
nexo,1,115,Finance / Banking
crv,1,181,Curve Ecosystem
wif,1,51,Solana Meme
hnt,1,131,Communication
people,1,150,PolitiFi
bome,1,107,Presale Meme 
chr,1,280,Chromia Ecosystem
dydx,1,94,Appchains
apt,1,33,Aptos Ecosystem
chz,1,112,Chiliz Ecosystem
$wen,1,459,Fractionalized NFT
eurs,1,339,EUR Stablecoin
zro,1,119,Cross-chain Communication
wld,1,108,Identity
twt,1,158,Account Abstraction
fil,1,42,Sequoia Capital Portfolio
xrd,1,203,Radix Ecosystem
xdc,1,148,XDC Ecosystem
ygg,1,251,Guild and Scholarship
iota,1,134,IOTA EVM Ecosystem
ondo,1,58,Real World Assets (RWA)
aitech,1,460,ChainGPT Pad
edu,1,308,Education
elf,1,230,Aelf Ecosystem
alph,1,393,Alephium Ecosystem
nxm,1,212,Insurance
ace,1,377,Endurance Ecosystem
boden,1,447,Parody Meme
ada,1,11,Cardano Ecosystem
ixs,1,368,Poolz Finance Launchpad
grt,1,50,Analytics
klay,1,132,Klaytn Ecosystem
w,1,124,Interoperability
lyx,1,475,Lukso Ecosystem
iotx,1,174,IoTeX Ecosystem
hbar,1,36,Protocol
corgiai,1,171,AI Meme
msol,1,100,Liquid Staked SOL
sand,1,103,Simulation Games
mog,1,132,Cat-Themed
kag,1,410,Tokenized Silver
lrc,1,250,Loopring Ecosystem
rbn,2,490,"Structured Products, Options"
rndr,2,35,"DePIN, Metaverse"
wbtc,2,15,"Tokenized BTC, Wrapped-Tokens"
acx,2,345,"Intent, Boba Network Ecosystem"
vet,2,49,"Internet of Things (IOT), Business Platform"
sui,2,53,"Binance Launchpool, Sui Ecosystem"
xai,2,342,"Layer 3 (L3), XAI Ecosystem"
avax,2,12,"DeFiance Capital Portfolio, DragonFly Capital Portfolio"
xaut,2,137,"Asset-backed Tokens, Tokenized Gold"
mkr,2,45,"Stablecoin Protocol, Lending/Borrowing"
ordi,2,96,"BRC-20, Inscriptions"
strk,2,87,"Starknet Ecosystem, Consensys Portfolio"
ewt,2,358,"Energy, Regenerative Finance (ReFi)"
stx,2,41,"Bitcoin Layer 2, Stacks Ecosystem"
blur,2,188,"NFTFi, NFT Marketplace"
