symbol,num_categories,market_cap_rank,categories
fet,3,28,"AI Agents, GMCI DePIN Index, NFT"
chz,1,112,Chiliz Ecosystem
klay,1,132,Klaytn Ecosystem
stx,2,41,"Bitcoin Layer 2, Stacks Ecosystem"
iota,1,134,IOTA EVM Ecosystem
bb,2,288,"Binance Megadrop, Bitcoin Ecosystem"
ldo,1,52,Liquid Staking Governance Tokens
grt,1,50,Analytics
ankr,7,198,"Blast Ecosystem, Linea Ecosystem, Mode Ecosystem, Polygon zkEVM Ecosystem, Rollups-as-a-Service (RaaS), Scroll Ecosystem, Technology & Science"
xmr,1,34,Privacy
mew,1,174,Cat-Themed
not,1,65,Tap to Earn
axs,6,88,"Axie Infinity Ecosystem, Breeding, Card Games, Gaming Governance Token, Gaming Utility Token, Metaverse"
inj,1,47,Secret Ecosystem
skl,1,223,Skale Ecosystem
turbo,1,194,AI Meme
pendle,8,99,"Derivatives, Fixed Interest, Liquid Restaking Governance Tokens, LRTfi, LSDFi, Olympus Pro, Restaking, Yield Tokenization"
dash,1,213,Masternodes
lrc,1,250,Loopring Ecosystem
fil,2,42,"DePIN, Sequoia Capital Portfolio"
uni,10,19,"Automated Market Maker (AMM), Coinbase Ventures Portfolio, Decentralized Exchange (DEX), Defi Pulse Index (DPI), Energi Ecosystem, Governance, Huobi ECO Chain Ecosystem, Paradigm Portfolio, Sora Ecosystem, Yield Farming"
1inch,1,145,Number
sushi,1,298,OEC Ecosystem
theta,3,63,"Entertainment, SocialFi, Theta Ecosystem"
iotx,1,174,IoTeX Ecosystem
dydx,1,94,Appchains
bch,1,18,Bitcoin Fork
ach,1,380,Payment Solutions
ondo,1,58,Real World Assets (RWA)
pyth,1,74,Manta Network Ecosystem
twt,2,157,"Account Abstraction, Wallets"
sui,2,53,"Binance Launchpool, Sui Ecosystem"
people,1,150,PolitiFi
mavia,1,589,Strategy Games
crv,1,181,Curve Ecosystem
gmt,2,186,"Move To Earn, Sports Games"
ygg,1,251,Guild and Scholarship
apt,1,33,Aptos Ecosystem
ace,1,377,Endurance Ecosystem
powr,1,378,Energy
matic,5,23,"Binance Labs Portfolio, Binance Launchpad, GMCI Layer 2 Index, Layer 2 (L2), Rollup"
hft,1,457,MEV Protection
flow,1,85,Sports
snx,1,116,Synthetic Issuer
zeta,1,245,ZetaChain Ecosystem
chr,1,280,Chromia Ecosystem
zil,1,192,Zilliqa Ecosystem
ada,1,11,Cardano Ecosystem
gala,2,82,"GalaChain Ecosystem, Gaming Platform"
near,4,20,"Artificial Intelligence (AI), Circle Ventures Portfolio, Data Availability, Zero Knowledge (ZK)"
alice,1,403,DaoMaker Ecosystem
wld,1,108,Identity
blur,2,188,"NFT Marketplace, NFTFi"
zro,1,119,Cross-chain Communication
arb,1,38,eGirl Capital Portfolio
kava,1,146,Finance / Banking
vet,2,49,"Business Platform, Internet of Things (IOT)"
c98,1,329,Viction Ecocystem
ilv,2,154,"Adventure Games, RPG"
super,1,207,Collectibles
nkn,1,558,Communication
mkr,2,45,"Lending/Borrowing, Stablecoin Protocol"
vanry,1,267,Vanar Chain Ecosystem
hbar,1,36,Protocol
edu,1,308,Education
avax,2,12,"DeFiance Capital Portfolio, DragonFly Capital Portfolio"
tia,2,72,"Modular Blockchain, OKX Ventures Portfolio"
egld,1,101,MultiversX Ecosystem
ordi,2,96,"BRC-20, Inscriptions"
yfi,2,270,"Yearn Ecosystem, Yield Aggregator"
w,1,124,Interoperability
token,3,351,"Discord Bots, Telegram Apps, TokenFi Launchpad"
ethw,1,226,EthereumPoW Ecosystem
strk,2,87,"Consensys Portfolio, Starknet Ecosystem"
sand,1,103,Simulation Games
auction,1,398,Launchpad
xvs,1,423,opBNB Ecocystem
fxs,1,228,Seigniorage
icp,2,29,"Internet Computer Ecosystem, Storage"
rune,1,69,Bridge Governance Tokens
sei,2,78,"Parallelized EVM, Sei Ecosystem"
ustc,1,402,Terra Ecosystem
xai,2,342,"Layer 3 (L3), XAI Ecosystem"
ethfi,1,175,Ether.fi Ecosystem
imx,4,46,"Gaming (GameFi), Gaming Blockchains, Immutable Ecosystem, Play To Earn"
bome,1,107,Presale Meme 
astr,1,172,Astar Ecosystem
dot,1,16,Layer 0 (L0)
aevo,1,160,Perpetuals
link,5,17,"Business Services, Edgeware Ecosystem, GMCI DeFi Index, Infrastructure, Oracle"
